Entity DCID,Entity properties isoCode,Variable DCID,Variable observation date,Variable observation metadata importName,Variable observation metadata provenanceUrl,Variable observation metadata scalingFactor,Variable observation metadata unit,Variable observation metadata unitDisplayName,Variable observation value,Variable properties name
geoId/34001,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),86110,Average Income for Households
geoId/34003,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),137866,Average Income for Households
geoId/34005,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),113226,Average Income for Households
geoId/34007,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),94016,Average Income for Households
geoId/34009,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),93847,Average Income for Households
geoId/34011,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),72860,Average Income for Households
geoId/34013,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),103290,Average Income for Households
geoId/34015,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),105950,Average Income for Households
geoId/34017,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),103912,Average Income for Households
geoId/34019,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),149456,Average Income for Households
geoId/34021,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),117651,Average Income for Households
geoId/34023,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),112274,Average Income for Households
geoId/34025,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),134907,Average Income for Households
geoId/34027,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),155396,Average Income for Households
geoId/34029,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),93749,Average Income for Households
geoId/34031,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),93352,Average Income for Households
geoId/34033,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),87338,Average Income for Households
geoId/34035,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),152531,Average Income for Households
geoId/34037,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),116709,Average Income for Households
geoId/34039,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),117238,Average Income for Households
geoId/34041,,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),99757,Average Income for Households
