county,state,id
Abbeville County,SC,45001
Acadia Parish,LA,22001
Accomack County,VA,51001
Ada County,ID,16001
Adair County,IA,19001
Adair County,KY,21001
Adair County,MO,29001
Adair County,OK,40001
Adams County,CO,08001
Adams County,ID,16003
Adams County,IL,17001
Adams County,IN,18001
Adams County,IA,19003
Adams County,MS,28001
Adams County,NE,31001
Adams County,ND,38001
Adams County,PA,42001
Adams County,WA,53001
Adams County,OH,39001
Adams County,WI,55001
Addison County,VT,50001
Adjuntas Municipio,PR,72001
Aguada Municipio,PR,72003
Aguadilla Municipio,PR,72005
Aguas Buenas Municipio,PR,72007
Aibonito Municipio,PR,72009
Aiken County,SC,45003
Ailinginae,MH,68007
Ailinglaplap,MH,68010
Ailuk,MH,68030
Aimeliik,PW,70002
Airai,PW,70004
Aitkin County,MN,27001
Alachua County,FL,12001
Alamance County,NC,37001
Alameda County,CA,06001
Alamosa County,CO,08003
Albany County,NY,36001
Albany County,WY,56001
Albemarle County,VA,51003
Alcona County,MI,26001
Alcorn County,MS,28003
Aleutians East Borough,AK,02013
Aleutians West Census Area,AK,02016
Alexander County,IL,17003
Alexander County,NC,37003
Alexandria city,VA,51510
Alfalfa County,OK,40003
Alger County,MI,26003
Allamakee County,IA,19005
Allegan County,MI,26005
Allegany County,MD,24001
Allegany County,NY,36003
Alleghany County,NC,37005
Alleghany County,VA,51005
Allegheny County,PA,42003
Allen County,IN,18003
Allen County,KS,20001
Allen County,KY,21003
Allen County,OH,39003
Allen Parish,LA,22003
Allendale County,SC,45005
Alpena County,MI,26007
Alpine County,CA,06003
Amador County,CA,06005
Amelia County,VA,51007
Amherst County,VA,51009
Amite County,MS,28005
Añasco Municipio,PR,72011
Anchorage Municipality,AK,02020
Anderson County,KS,20003
Anderson County,KY,21005
Anderson County,SC,45007
Anderson County,TN,47001
Anderson County,TX,48001
Andrew County,MO,29003
Andrews County,TX,48003
Androscoggin County,ME,23001
Angaur,PW,70010
Angelina County,TX,48005
Anne Arundel County,MD,24003
Anoka County,MN,27003
Anson County,NC,37007
Antelope County,NE,31003
Antrim County,MI,26009
Apache County,AZ,04001
Appanoose County,IA,19007
Appling County,GA,13001
Appomattox County,VA,51011
Aransas County,TX,48007
Arapahoe County,CO,08005
Archer County,TX,48009
Archuleta County,CO,08007
Arecibo Municipio,PR,72013
Arenac County,MI,26011
Arkansas County,AR,05001
Arlington County,VA,51013
Armstrong County,PA,42005
Armstrong County,TX,48011
Arno,MH,68040
Aroostook County,ME,23003
Arroyo Municipio,PR,72015
Arthur County,NE,31005
Ascension Parish,LA,22005
Ashe County,NC,37009
Ashland County,OH,39005
Ashland County,WI,55003
Ashley County,AR,05003
Ashtabula County,OH,39007
Asotin County,WA,53003
Assumption Parish,LA,22007
Atascosa County,TX,48013
Atchison County,KS,20005
Atchison County,MO,29005
Athens County,OH,39009
Atkinson County,GA,13003
Atlantic County,NJ,34001
Atoka County,OK,40005
Attala County,MS,28007
Audrain County,MO,29007
Audubon County,IA,19009
Auglaize County,OH,39011
Augusta County,VA,51015
Aur,MH,68050
Aurora County,SD,46003
Austin County,TX,48015
Autauga County,AL,01001
Avery County,NC,37011
Avoyelles Parish,LA,22009
Baca County,CO,08009
Bacon County,GA,13005
Bailey County,TX,48017
Baker County,FL,12003
Baker County,GA,13007
Baker County,OR,41001
Baker Island,UM,74050
Baldwin County,AL,01003
Baldwin County,GA,13009
Ballard County,KY,21007
Baltimore city,MD,24510
Baltimore County,MD,24005
Bamberg County,SC,45009
Bandera County,TX,48019
Banks County,GA,13011
Banner County,NE,31007
Bannock County,ID,16005
Baraga County,MI,26013
Barber County,KS,20007
Barbour County,AL,01005
Barbour County,WV,54001
Barceloneta Municipio,PR,72017
Barnes County,ND,38003
Barnstable County,MA,25001
Barnwell County,SC,45011
Barranquitas Municipio,PR,72019
Barren County,KY,21009
Barron County,WI,55005
Barrow County,GA,13013
Barry County,MI,26015
Barry County,MO,29009
Bartholomew County,IN,18005
Barton County,KS,20009
Barton County,MO,29011
Bartow County,GA,13015
Bastrop County,TX,48021
Bates County,MO,29013
Bath County,KY,21011
Bath County,VA,51017
Baxter County,AR,05005
Bay County,FL,12005
Bay County,MI,26017
Bayamón Municipio,PR,72021
Bayfield County,WI,55007
Baylor County,TX,48023
Beadle County,SD,46005
Bear Lake County,ID,16007
Beaufort County,NC,37013
Beaufort County,SC,45013
Beauregard Parish,LA,22011
Beaver County,OK,40007
Beaver County,PA,42007
Beaver County,UT,49001
Beaverhead County,MT,30001
Becker County,MN,27005
Beckham County,OK,40009
Bedford County,PA,42009
Bedford County,TN,47003
Bedford County,VA,51019
Bee County,TX,48025
Belknap County,NH,33001
Bell County,KY,21013
Bell County,TX,48027
Belmont County,OH,39013
Beltrami County,MN,27007
Ben Hill County,GA,13017
Benewah County,ID,16009
Bennett County,SD,46007
Bennington County,VT,50003
Benson County,ND,38005
Bent County,CO,08011
Benton County,AR,05007
Benton County,IN,18007
Benton County,IA,19011
Benton County,MN,27009
Benton County,MS,28009
Benton County,MO,29015
Benton County,OR,41003
Benton County,TN,47005
Benton County,WA,53005
Benzie County,MI,26019
Bergen County,NJ,34003
Berkeley County,SC,45015
Berkeley County,WV,54003
Berks County,PA,42011
Berkshire County,MA,25003
Bernalillo County,NM,35001
Berrien County,GA,13019
Berrien County,MI,26021
Bertie County,NC,37015
Bethel Census Area,AK,02050
Bexar County,TX,48029
Bibb County,AL,01007
Bibb County,GA,13021
Bienville Parish,LA,22013
Big Horn County,MT,30003
Big Horn County,WY,56003
Big Stone County,MN,27011
Bikar,MH,68060
Bikini,MH,68070
Billings County,ND,38007
Bingham County,ID,16011
Black Hawk County,IA,19013
Blackford County,IN,18009
Bladen County,NC,37017
Blaine County,ID,16013
Blaine County,MT,30005
Blaine County,NE,31009
Blaine County,OK,40011
Blair County,PA,42013
Blanco County,TX,48031
Bland County,VA,51021
Bleckley County,GA,13023
Bledsoe County,TN,47007
Blount County,AL,01009
Blount County,TN,47009
Blue Earth County,MN,27013
Boise County,ID,16015
Bokak,MH,68073
Bolivar County,MS,28011
Bollinger County,MO,29017
Bon Homme County,SD,46009
Bond County,IL,17005
Bonner County,ID,16017
Bonneville County,ID,16019
Boone County,AR,05009
Boone County,IL,17007
Boone County,IN,18011
