Entity DCID,Entity properties isoCode,Variable DCID,Variable observation date,Variable observation metadata importName,Variable observation metadata provenanceUrl,Variable observation metadata scalingFactor,Variable observation metadata unit,Variable observation metadata unitDisplayName,Variable observation value,Variable properties name
"Atlantic County, NJ",,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),86110,Average Income for Households
"Bergen County, NJ",,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),137866,Average Income for Households
"Burlington County, NJ",,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),113226,Average Income for Households
"Camden County, NJ",,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),94016,Average Income for Households
"Cape May County, NJ",,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),93847,Average Income for Households
"Cumberland County, NJ",,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),72860,Average Income for Households
"Essex County, NJ",,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),103290,Average Income for Households
"Gloucester County, NJ",,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),105950,Average Income for Households
"Hudson County, NJ",,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),103912,Average Income for Households
"Hunterdon County, NJ",,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),149456,Average Income for Households
"Mercer County, NJ",,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),117651,Average Income for Households
"Middlesex County, NJ",,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),112274,Average Income for Households
"Monmouth County, NJ",,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),134907,Average Income for Households
"Morris County, NJ",,Mean_Income_Household,2019,CensusACS5YearSurvey_SubjectTables_S1901,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2019.S1901,,InflationAdjustedUSD_CurrentYear,Infl. adj. USD (CY),155396,Average Income for Households
